timestamp,process_id,user,process_name,cpu_usage,memory_usage,keystroke_hook,network_activity,label,rule_flag,rf_pred
2025-01-11 23:15:00,10000,heidi,hid_hook.exe,5.13,96.8,1,1,1,1,0.0
2025-01-01 14:20:00,10001,bob,discord.exe,16.57,10.0,0,0,0,0,
2025-01-27 11:58:00,10002,heidi,chrome.exe,33.28,476.9,1,1,0,0,0.0
2025-01-08 20:04:00,10003,diana,excel.exe,19.35,354.0,0,1,0,0,
2025-01-05 08:25:00,10004,grace,keycap.exe,1.07,64.6,1,0,0,0,
2025-01-12 16:50:00,10005,grace,firefox.exe,24.53,482.0,0,0,0,0,0.0
2025-01-26 19:54:00,10006,eve,notepad.exe,15.05,513.4,0,1,0,0,
2025-01-16 06:02:00,10007,alice,teams.exe,15.04,346.4,0,1,0,0,
2025-01-12 03:03:00,10008,diana,notepad.exe,18.16,413.6,0,0,1,0,
2025-01-29 12:50:00,10009,frank,keycap.exe,16.64,141.8,1,1,1,0,
2025-01-02 04:05:00,10010,grace,explorer.exe,17.05,138.2,0,0,0,0,
2025-01-01 12:49:00,10011,charlie,keycap.exe,0.0,74.9,1,1,1,1,
2025-01-02 16:33:00,10012,diana,keylog.exe,7.59,101.3,1,1,1,1,1.0
2025-01-04 16:31:00,10013,eve,spotify.exe,39.72,557.0,0,0,0,0,
2025-01-27 06:19:00,10014,frank,spotify.exe,0.0,406.8,0,0,0,0,
2025-01-28 05:08:00,10015,alice,keycap.exe,13.74,33.0,1,1,1,1,
2025-01-13 04:48:00,10016,alice,firefox.exe,42.6,580.6,0,0,0,0,
2025-01-14 17:29:00,10017,eve,python.exe,0.0,388.1,0,0,0,0,
2025-01-20 22:13:00,10018,eve,outlook.exe,6.44,123.1,0,0,0,0,
2025-01-05 10:36:00,10019,charlie,chrome.exe,34.36,385.8,0,1,0,0,0.0
2025-01-20 02:00:00,10020,grace,firefox.exe,23.79,278.3,0,0,0,0,0.0
2025-01-29 18:34:00,10021,alice,keylog.exe,8.7,142.6,1,1,0,1,
2025-01-18 19:38:00,10022,frank,firefox.exe,13.21,425.8,0,0,0,0,
2025-01-14 03:42:00,10023,diana,keystreamer.exe,12.35,144.8,0,1,0,0,
2025-01-13 19:11:00,10024,frank,chrome.exe,17.18,391.9,0,1,0,0,
2025-01-02 21:47:00,10025,bob,word.exe,10.12,284.0,0,0,0,0,
2025-01-01 03:09:00,10026,charlie,vscode.exe,41.36,418.0,0,1,0,0,0.0
2025-01-14 06:38:00,10027,eve,excel.exe,17.63,462.9,0,1,0,0,0.0
2025-01-25 20:13:00,10028,charlie,spotify.exe,6.66,103.4,0,0,0,0,
2025-01-02 07:39:00,10029,bob,chrome.exe,22.5,315.1,0,0,0,0,
2025-01-01 21:07:00,10030,alice,vscode.exe,0.0,693.6,0,1,0,0,
2025-01-22 21:51:00,10031,frank,firefox.exe,0.0,270.0,0,0,0,0,
2025-01-08 21:54:00,10032,frank,outlook.exe,18.97,408.8,0,0,1,0,
2025-01-03 11:16:00,10033,eve,excel.exe,27.54,702.1,0,0,0,0,
2025-01-03 16:50:00,10034,grace,discord.exe,10.12,491.1,0,0,0,0,0.0
2025-01-29 21:26:00,10035,grace,hid_hook.exe,4.99,136.0,1,1,1,1,0.0
2025-01-22 08:20:00,10036,diana,teams.exe,27.72,10.0,0,1,1,0,
2025-01-11 01:42:00,10037,eve,word.exe,28.0,155.5,0,0,0,0,
2025-01-16 02:57:00,10038,heidi,chrome.exe,31.63,265.9,0,1,0,0,
2025-01-08 09:07:00,10039,diana,hid_hook.exe,5.76,90.7,1,1,0,1,
2025-01-07 02:32:00,10040,heidi,excel.exe,33.57,681.6,0,0,0,0,
2025-01-30 21:01:00,10041,grace,vscode.exe,12.36,595.9,1,0,0,0,0.0
2025-01-06 20:33:00,10042,eve,spotify.exe,2.21,506.9,0,1,0,0,
2025-01-30 20:41:00,10043,heidi,word.exe,8.79,243.3,0,0,1,0,
2025-01-08 15:36:00,10044,eve,firefox.exe,5.86,473.6,0,0,0,0,0.0
2025-01-17 14:17:00,10045,eve,python.exe,42.07,412.9,0,0,1,0,
2025-01-02 19:32:00,10046,grace,teams.exe,13.89,428.4,1,0,0,0,0.0
2025-01-17 07:23:00,10047,diana,notepad.exe,15.59,138.9,0,0,0,0,
2025-01-12 21:59:00,10048,diana,notepad.exe,19.16,290.5,0,0,0,0,
2025-01-29 11:14:00,10049,eve,notepad.exe,12.57,150.3,0,1,0,0,
2025-01-11 02:21:00,10050,bob,outlook.exe,27.39,270.4,0,0,0,0,
2025-01-25 22:40:00,10051,charlie,notepad.exe,16.74,524.9,0,0,0,0,0.0
2025-01-19 10:11:00,10052,grace,spotify.exe,7.75,297.0,0,0,0,0,
2025-01-02 02:25:00,10053,charlie,python.exe,51.58,305.0,0,0,0,0,
2025-01-03 17:43:00,10054,charlie,vscode.exe,21.27,192.2,0,0,0,0,
2025-01-17 14:59:00,10055,diana,hid_hook.exe,8.32,21.2,0,1,1,0,0.0
2025-01-14 12:17:00,10056,diana,outlook.exe,19.44,573.6,0,0,0,0,
2025-01-01 17:01:00,10057,bob,keylog.exe,4.15,92.0,1,1,1,1,
2025-01-09 02:13:00,10058,charlie,discord.exe,33.39,127.3,0,0,0,0,
2025-01-10 07:37:00,10059,charlie,hid_hook.exe,9.9,11.3,1,1,1,1,
2025-01-29 07:17:00,10060,eve,word.exe,17.3,347.7,0,0,0,0,
2025-01-07 17:32:00,10061,diana,keycap.exe,3.03,118.5,1,1,1,1,
2025-01-05 18:33:00,10062,charlie,spotify.exe,17.32,433.1,0,0,0,0,0.0
2025-01-04 22:35:00,10063,frank,excel.exe,27.58,375.0,0,1,0,0,
2025-01-01 02:41:00,10064,bob,firefox.exe,47.89,259.1,0,1,0,0,
2025-01-26 17:45:00,10065,heidi,chrome.exe,27.52,248.3,0,0,0,0,
2025-01-19 10:37:00,10066,frank,keylog.exe,7.38,124.7,1,1,1,1,
2025-01-24 10:43:00,10067,frank,teams.exe,9.44,430.5,0,1,0,0,
2025-01-23 15:26:00,10068,heidi,discord.exe,33.95,236.5,0,0,0,0,0.0
2025-01-09 00:14:00,10069,grace,chrome.exe,33.55,342.1,0,0,0,0,
