timestamp,process_id,user,process_name,cpu_usage,memory_usage,keystroke_hook,network_activity,label
2025-01-11 23:15:00,10000,Navaneeth,kl_service.exe,9.47,95.6,1,1,1
2025-01-01 14:20:00,10001,Raghav,excel.exe,24.62,486.6,0,0,0
2025-01-27 11:58:00,10002,Muhilan,teams.exe,16.71,587.3,0,0,0
2025-01-08 20:04:00,10003,Muhilan,python.exe,0.0,346.8,0,0,1
2025-01-05 08:25:00,10004,Raghav,excel.exe,14.89,220.4,0,0,0
2025-01-12 16:50:00,10005,Navaneeth,syskey32.exe,11.99,127.3,1,1,1
2025-01-26 19:54:00,10006,Farhaan,excel.exe,46.52,592.9,0,1,0
2025-01-16 06:02:00,10007,Muhilan,keystreamer.exe,9.08,205.4,1,1,1
2025-01-12 03:03:00,10008,Raghav,keystreamer.exe,4.74,122.4,1,1,1
2025-01-29 12:50:00,10009,Taru,hid_hook.exe,19.95,89.8,1,1,1
2025-01-02 04:05:00,10010,Taru,notepad.exe,24.04,363.4,1,0,1
2025-01-01 12:49:00,10011,Naveen,excel.exe,28.38,454.5,0,1,0
2025-01-02 16:33:00,10012,Raghav,syskey32.exe,12.36,103.7,1,1,1
2025-01-04 16:31:00,10013,Naveen,explorer.exe,45.98,113.1,0,0,0
2025-01-27 06:19:00,10014,Taru,word.exe,4.26,521.6,0,0,0
2025-01-28 05:08:00,10015,Navaneeth,teams.exe,33.64,458.1,0,0,0
2025-01-13 04:48:00,10016,Farhaan,word.exe,37.44,283.3,0,0,0
2025-01-14 17:29:00,10017,Raghav,firefox.exe,42.47,427.6,0,0,0
2025-01-20 22:13:00,10018,Betu,discord.exe,29.85,341.7,0,0,0
2025-01-05 10:36:00,10019,Taru,vscode.exe,11.49,380.7,0,1,0
2025-01-20 02:00:00,10020,Taru,kl_service.exe,4.86,95.2,1,1,1
2025-01-29 18:34:00,10021,Betu,excel.exe,14.94,330.0,0,0,0
2025-01-18 19:38:00,10022,Mithun,keylog.exe,0.22,10.0,1,1,0
2025-01-14 03:42:00,10023,Taru,syskey32.exe,0.0,117.3,1,1,0
2025-01-13 19:11:00,10024,Muhilan,excel.exe,27.34,352.1,0,0,0
2025-01-02 21:47:00,10025,Navaneeth,discord.exe,22.17,346.4,0,0,0
